,option_distance_100_km,option_grade,option_beds,option_rep
0.0,5.0008296966552734e-05,0.017055522839147134,0.0011277233085233756,0.00024303702179606732
0.05,0.043243408203125,0.019630214125555195,0.0012979637287859535,0.0002797257418191581
0.1,0.06524658203125,0.021129339905224212,0.001397086992264024,0.0003010879168884675
0.15000000000000002,0.0838623046875,0.022507596640379143,0.001488218308496442,0.00032072773768678295
0.2,0.10125732421875,0.02389273036508753,0.0015798043361724813,0.000340465553901349
0.25,0.1180419921875,0.025323106784592462,0.0016743818430276498,0.00036084806743214996
0.30000000000000004,0.1346435546875,0.026832366042962207,0.0017741751393293992,0.00038235464209020756
0.35000000000000003,0.151611328125,0.028474952254994405,0.001882784108695973,0.0004057610931723927
0.4,0.1689453125,0.030259033249458948,0.0020007488137786717,0.0004311838102375302
0.45,0.1868896484375,0.03221832425012923,0.0021302985291684847,0.0004591032269640451
0.5,0.2054443359375,0.034360441749821745,0.002271936862791089,0.0004896278765085056
0.55,0.2247314453125,0.03670253814816924,0.002426797943517547,0.0005230021763632811
0.6000000000000001,0.245361328125,0.03931803904490451,0.00259973672425912,0.0005602724233350398
0.65,0.268310546875,0.04232137144538632,0.002798319200047717,0.0006030691742151339
0.7000000000000001,0.29443359375,0.045776876670319,0.0030267996647999635,0.0006523092770597548
0.75,0.322509765625,0.04938358658267746,0.0032652778910970313,0.0007037040096545246
0.8,0.35546875,0.053186404412297904,0.0035167229124532747,0.0007578932320231631
0.8500000000000001,0.398193359375,0.05679165076886887,0.003755104367400062,0.0008092671093065373
0.9,0.4609375,0.05795863730441651,0.0038322663476736516,0.0008258963815223748
0.9500000000000001,0.5576171875,0.05008959638540399,0.0033119597617197972,0.0007137644763685467
1.0,3.060546875,0.0006825871382697078,4.513314737899353e-05,9.72669948414585e-06
